id1,id2
128481,98876
57225,54453
57225,48872
57225,28687
57225,15247
57225,22254
57225,71995
57225,117130
57225,105287
48872,78152
63695,128481
63695,98876
63695,39499
63695,43216
63695,12861
63695,78152
63695,106030
63695,117455
63695,122251
63695,54026
63695,63684
63695,59793
63695,80245
63695,110194
63695,90499
63695,104990
63695,101901
63695,59459
63695,28687
63695,59093
63695,6151
63695,7802
63695,147648
63695,51068
63695,99188
63695,102438
63695,52302
63695,15420
63695,15247
63695,102923
63695,114778
63695,98246
63695,97971
63695,81287
63695,4279
63695,57490
63695,13514
63695,118598
63695,56108
63695,62696
63695,105797
63695,84985
63695,22835
63695,9339
63695,92741
63695,94646
63695,22254
63695,35983
63695,59352
63695,52837
63695,127038
63695,134418
63695,88862
63695,46261
63695,105287
63695,26489
63695,124122
63695,75006
43216,78152
43216,7584
43216,57490
43216,13514
12861,98876
12861,39499
12861,43216
12861,78152
12861,7584
12861,57490
12861,13514
12861,84985
12861,92741
136052,128481
136052,98876
136052,39499
136052,43216
136052,12861
136052,63684
136052,104990
136052,147648
136052,99188
136052,81287
136052,105797
136052,22835
136052,92741
136052,22254
136052,35983
136052,59352
136052,52837
136052,127038
136052,105287
136052,26489
66407,39499
66407,122251
66407,45408
66407,69784
66407,63684
66407,59459
66407,28687
66407,59093
66407,6151
66407,147648
66407,102438
66407,45219
66407,58623
66407,3291
66407,15247
66407,22254
66407,35983
66407,59352
66407,63260
66407,56383
66407,96610
66407,52837
66407,134418
66407,88862
58748,98876
58748,39499
58748,43216
58748,78152
58748,63684
58748,59793
58748,80245
58748,81497
58748,102438
58748,45219
58748,52302
58748,98246
58748,97971
58748,81287
58748,75860
58748,57490
58748,13514
58748,56108
58748,10697
58748,62696
58748,105797
58748,84985
58748,22835
58748,92741
58748,94646
58748,22254
58748,35983
58748,59352
58748,56383
58748,56448
58748,134418
58748,105287
58748,26489
58748,124122
58748,147133
58748,83408
87841,43216
87841,78152
87841,72132
87841,22835
87841,94646
87841,22254
87841,6682
126125,98876
126125,43216
126125,78152
126125,130347
126125,57490
126125,13514
126125,47971
126125,92741
135746,78152
135746,120211
135746,106030
135746,117455
135746,122251
135746,54026
135746,69784
135746,102397
135746,102715
135746,135789
135746,145745
135746,119008
135746,66709
135746,134183
135746,15247
135746,47405
135746,60009
135746,101580
135746,107380
135746,109966
135746,63598
135746,105287
55714,78152
124030,128481
124030,98876
124030,43216
124030,104990
124030,147648
124030,99188
124030,81287
124030,57490
124030,22835
124030,92741
124030,35983
124030,59352
124030,52837
124030,105287
124030,26489
